code_number,explanation,system_action,operator_response,system_programmer_response,user_response
00D3003C,"A client program issued a cancel request that terminated
processing of the SQL statement.","The SQL statement was terminated and
any changes made by that statement have been undone. If an SQL cursor
is associated with the interrupted SQL statement, that cursor is closed.
An sqlcode of -952 is issued.",,,
00D3003D,Distributed data access to an accelerator is not supported.,The connection to the accelerator server is terminated.,,,
00D3003E,"A connection or thread that is running under KEEPDYNAMIC
refresh rules was actively in use for more than one hour. A unit-of-work
was completed and only packages bound with the KEEPDYNAMIC(YES) option
are causing the thread to remain active with its connection. 
This
condition might normal if the client connected to Db2 indicating that it uses KEEPDYNAMIC(YES)
packages and it is enabled for either:
Sysplex workload balancing.
Seamless failover.

Under the support for KEEPDYNAMIC refresh rules from the following
drivers, when a client socket is closed from the server, the client
attempts to reconnect back to the same server and marks that all statements
managed under the connection need to be prepared.
IBM Data Server Driver for Java
IBM Data Server Driver for
ODBC/CLI/.NET

","The connection or thread is terminated.
",,,
00D3003F,"A connection or thread that is running under KEEPDYNAMIC
refresh rules was actively in use for more than 20 minutes. A unit-of-work
was completed and only packages bound with the KEEPDYNAMIC(YES) option
are causing the thread to remain active with its connection.
This
condition might be normal if the client connected to Db2 indicating that it uses KEEPDYNAMIC(YES)
packages and it is enabled for either:
Sysplex workload balancing.
Seamless failover.

Under the support for KEEPDYNAMIC refresh rules from the following
drivers, when a client socket is closed from the server, the client
attempts to reconnect back to the same server and marks that all statements
managed under the connection need to be prepared.
IBM Data Server Driver for Java
IBM Data Server Driver for
ODBC/CLI/.NET

","The connection or thread is terminated.
",,,
00D30040,"An invalid or incomplete DDF communication record was found in the BSDS.
",,,"Use the DSNJU003 change log inventory utility to add a valid DDF communication
record to the BSDS.
",
00D30041,"An invalid subsystem IPv4 address was found the BSDS. The specified address
does  not conform to dotted decimal form.
",,,"Use the DSNJU003 change log inventory utility to correct or remove the
BSDS DDF communication record subsystem IPv4 address. See the IPV4 and NOIPV4
keywords of the DDF statement for more information.
",
00D30042,"An invalid subsystem IPv6 address was found the BSDS. The specified address
does  not conform to colon hexadecimal form.
",,,"Use the DSNJU003 change log inventory utility to correct or remove the
BSDS DDF communication record subsystem IPv6 address. See the IPV6 and NOIPV6
keywords of the DDF statement for more information.
",
00D30043,"An invalid group IPv4 address was found the BSDS. The specified address
does  not conform to dotted decimal form.
",,,"Use the DSNJU003 change log inventory utility to correct or remove the
BSDS DDF communication record group IPv4 address. See the GRPIPV4 and NGRPIP4
keywords of the DDF statement for more information.
",
00D30044,"An invalid group IPv6 address was found the BSDS. The specified address
does  not conform to colon hexadecimal form.
",,,"Use the DSNJU003 change log inventory utility to correct or
remove the BSDS DDF communication record group IPv6 address. See the GRPIPV6
and NGRPIPV6 keywords of the DDF statement for more information. 
",
00D30045," An subsystem IPv4 or IPv6 address is invalid with
respect to the specified group IPv4 or IPv6 address. Data sharing
members require subsystem or member and group pairs. That is, if a
subsystem or member IP address is specified, a corresponding group
address is also required since the  Db2 subsystem
is a member of a data sharing group.
",,," Use the DSNJU003 change log inventory
utility to add a corresponding group address or to remove the subsystem
or member address. See the GRPIPV4, GRPIPV6, NOIPV4, and NOIPV6 keywords
of the DDF  statement for more information.
",
00D30046," A value was found for the IPNAME field of the
BSDS DDF record but only zero values were found for the PORT and RESPORT
fields in the BSDS DDF record. If an IPNAME value is specified, DDF
will only attempt to activate its TCP/IP communications support which
needs values for PORT and RESPORT in the BSDS DDF record.
",,," Use the DSNJU003 change log inventory
utility to add non-zero values for the PORT and RESPORT fields of
the BSDS DDF record or to remove the IPNAME value if SNA/APPC communication
is needed.
",
00D30050,"A distributed thread was aborted because a server thread held Db2 resources, and the requesting application did not make a request to the Db2 server thread for an extended period of time. The amount of
time that the distributed thread was idle exceeded the setting for the MONITOR IDLE THREADS keyword
in a monitor profile. That monitor profile also specified an EXCEPTION_ROLLBACK action for one of
the following filtering scopes:
LOCATION
PRDID
ROLE_AUTHID
ROLE
AUTHID
COLLID_PKGNAME
COLLID
PKGNAME
CLIENT_APPLNAME
CLIENT_USERID
CLIENT_WRKSTNNAME

","The server thread is aborted. The connection with the remote application is maintained.
If the aborted transaction performed database updates, the application environment is placed in a
must-abort state so that the application environment is made aware of the resources that have been
destroyed as a result of the aborted threads. 
Important If either of the following situations are true, Db2 hides the EXCEPTION_ROLLBACK event from the
remote application environment:The aborted transaction performed only read-only operations.
The transaction committed or aborted, but the associated database access thread remained active
before it became idle.


Because the EXCEPTION_ROLLBACK event is not visible to the remote application environment in
those cases, it might appear to the remote application environment that the database resources are
unexpectedly disappearing. For example, held cursors, kept dynamic statements, and declared
temporary tables that were created in the transaction are destroyed.

","Notify the system programmer.
","Review the information that is provided in the DSNL030I message. The condition usually occurs for
one of the following reasons:
The ACTIVE option was specified for subsystem parameter CMTSTAT, which corresponds to the DDF
THREADS field of the DSNTIPR installation panel. A requester application or its user did not make a
request to the Db2 server for an extended period. This might
happen because of a lengthy user absence. As a result, the server thread was aborted when the
timeout value was exceeded.Determine why the requesting application did not make a request to the
Db2 server in the specified time.

The INACTIVE option was specified for subsystem parameter CMTSTAT. One of the following
situations occurred:A requester application or its user failed to issue a commit operation before an extended
dormant period, such as a user absence.
A requester application or its user issued a commit operation before an extended dormant period,
but database resources were still being held because of other conditions.

As a result, the thread could no be moved to the inactive state, and was aborted when the
timeout value was exceeded.
Determine why the server thread was not moved to the inactive
state.


If the design or use of the application requires additional time, follow these steps:
Modify the exception threshold for the MONITOR IDLE THREADS profile in the
SYSIBM.DSN_PROFILE_ATTRIBUTES table.
Issue the START PROFILE command to refresh the exception threshold value.

",
00D30051,"Authentication failed for a distributed thread. A remote client environment used a digital client
certificate for authentication, but a required trusted context was not defined at the Db2 for z/OS server.
The information that is provided in the associated DSNL030I message includes the user ID and the
IP address of the remote client environment. A Db2 trusted
context is required for the specified user ID. The remote client environment accesses the Db2 server using digital certificates, through SSL client
authentication. The user ID that is provided by the remote client is different from the user ID that
is associated with the client digital certificate at the server. Therefore, additional
authentication is required. Db2 uses the user ID that is
obtained from the certificate to search for a trusted context. When the trusted context exists, Db2 processes the remote client user ID that is specified in the
message as a trusted context switch-user request. However, the trusted context did not exist, so a
switch-user request could not be performed.
","Authentication fails, and the connection with the remote client environment is terminated.
","Notify the system programmer.
","Review the information that is provided in the associated DSNL030I message. Create a trusted
context for the user ID that is specified in the information for the remote client environment.
","If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
Collect the following diagnostic items:Console output from the system on which the error occurred
Trusted context definition
AT-TLS policy configuration,  in which HandShakeRole is set to ServerWithClientAuth
RACF RACDCERT commands that were used to add the client certificate to the keyring at the z/OS server, including any RACDCERT MAP commands if RACF certificate name filtering is used


"
00D300F1," The DSNLTOKS macro was invoked to extract error
information from the DTMF block using the CHECK_SQLCODE keyword and
the DTMF block was either uninitialized or contained an SQL return
code that was not negative. This is a Db2 internal
error.
"," A record is written to SYS1.LOGREC and an SVC
dump is requested. The execution unit is abnormally terminated.
"," Notify the system programmer.
"," This is a Db2 internal error. Obtain a copy of SYS1.LOGREC
and the SVC dump. Determine the failing environment (Db2, IMS, CICS, or TSO). If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," This name of the module that invoked
the function given as the abending module name. This is not the module
in error. An earlier failing module neglected to report error information
in the DTMF block.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00D300F2," EXCSATRD reply received from a remote server indicates
an incompatible server.
"," The manager levels returned from the local Db2 in the DDM EXCSATRD reply were
too low for the local Db2 to
support. The local Db2 has disconnected
the conversation with the remote server. Db2 requests
neither an SVC dump nor a SYS1.LOGREC record written.
",," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data. Notify
the system programmer at the remote location that the remote server
is not usable.
"," Determine the server being accessed by
inspecting the SQLCODE -30041 message text. Refer to the DDM documentation
of the EXCSAT command.
"
00D300F3," The connection to the remote server failed. The
SYSIBM.USERNAMES table did not contain an outbound row and did not
specify the remote authorization ID for the new user primary Db2 authorization ID. When the USERNAMES
column in SYSIBM.LUNAMES or SYSIBM.IPNAMES is specified as 'O' or
'B', outbound name translation is in use. The SYSIBM.USERNAMES table
must contain entries that describe the remote authorization IDs that
are used for each Db2 authorization
ID that communicates with the LU or the TCP/IP address.
"," A response is sent to the application to indicate
that the resource is unavailable. The request is not sent to the remote
site.
"," Notify the communications database administrator.
"," Make sure the USERNAMES column in
SYSIBM.LUNAMES or SYSIBM.IPNAMES is specified correctly for the indicated
LUNAME or IPADDR. If you intend to use remote authorization IDs that
differ from the Db2 authorization
IDs, verify that the SYSIBM.USERNAMES table has rows that specify
the remote authorization ID to be used for each possible Db2 authorization ID. These rows must specify
'O' in the TYPE column of the SYSIBM.USERNAMES table.
"," Analyze the SYSIBM.USERNAMES table for
an incorrect or missing entry.
"
00D300F4," A DRDA protocol
error occurred. Either a reply chain is broken but there is no DDM
reply with a high enough severity to break the chain, or a message
chain is unbroken in spite of a high severity code, or a conversation
expected to be available has been terminated. The problem, though
detected by Db2, is believed
to have originated at the remote server. The server might not be a Db2 subsystem.
"," This reason code is returned to the application.
A request message has likely been sent to the remote site but the
outcome is uncertain. A DSNL031I message may have been written to
the console. Refer to the description of this message for more information.
If this reason code is returned for an SQL 'COMMIT' statement, determine
if manual recovery of the unit of work is necessary.
"," Notify the operator or systems programmer
for the remote server.
"," Determine the product type of the
server. The DISPLAY THREAD command may be used. Refer to the server
products' diagnostic recommendations. If the server DBMS is Db2, contact your IBM representative to report the problem and
open an APAR.
"," The problem originated with the remote
server. Follow the diagnostic recommendations published for the server
DBMS product, which might not be Db2.
"
00D300F5,"DDM command chaining is in use.
","The DTM module returns to its invoker with a return code = 4.
",,,
00D300F6," A valid but unexpected DDM reply was received
from a remote server during a connect, commit, or abort operation.
For a connect, the expected DDM reply is EXCSATRD (for EXCSAT command)
or ACCRDBRM (for ACCRDB command). For a commit or abort, the expected
DDM reply is ENDUOWRM. (The DDM command for a commit is RDBCMM. For
a rollback, it is RDBRLLBCK).
"," The local Db2 tried
to access a remote server and the server replied with an unexpected
DDM answer. The remote server may have suffered permanent damage.
The local Db2 may or may not
subsequently disconnect the conversation to the server. This is an
internal-only DDF reason code. The local Db2 requests
neither a SVC dump nor a SYS1.LOGREC record.
",," If the SQLCA is available, examine
all fields in the SQLCA. Using this information, try to determine
what DDM reply was received. Contact the system programmer at the
server site with this information. This is probably a programming
error at the server database system, although it may be a Db2 error. The server database system
may have recorded diagnostic information for the problem. If this
is a Db2 error, write an APAR.
"," Examine the SQL return code in the SQLCA.
It should give further indication of the real cause.
"
00D300F7," A DDM reply message was too big to fit in the
DTM reply buffer.
"," The requesting allied agent is terminated. A
SYS1.LOGREC record is written and an SVC dump is requested at the
local Db2.
"," Notify the system programmer.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," This error should never occur. Write
an APAR.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
SVC dump (or system dump), taken to SYS1.DUMPxx
data set, as result of an operator-initiated dump command or SLIP
trap exit.
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00D300F8," An attempt was made to access data at a remote
location that has been started in restricted access mode.  When a Db2 system is started in restricted
access mode, no remote inbound or outbound access is allowed.
"," Remote access is not allowed.
"," Notify the system programmer.
"," Determine the remote location where
the remote data access was attempted. Retry the request when the remote
location and/or the local Db2 has
been restarted in full access mode.
",
00D300F9," The Db2 server
was unable to allocate a database access agent since the maximum number
allowed was zero (ZPARM MAXDBAT value was zero).
"," The Db2 server
terminates the conversation with a 084B6031 SNA sense code for application-directed
access and a 00D300F9 Db2 code
for system-directed access. A DSNL030I message containing this reason
code is written to the MVS operator
console at the Db2 server site.
",," At the server, currently no data
base access agents are allowed because the MAXDBAT value in the ZPARM
is zero. If access to this site from a remote site is desirable, change
the MAXDBAT parameter in ZPARM to the maximum number of database access
agents needed. Restart Db2 at
the server. Notify the user to rerun the application. 
",
00D300FA," You attempted a COMMIT statement for a plan that
specified ISOLATION (RR) and update operations were performed either
at the local site or at a remote site. The COMMIT operation could
not be performed because the COMMIT request could not be transmitted
to a remote site where Repeatable Read operations had been performed.
"," All update operations were backed out.
",," Determine why the COMMIT failed and
retry the application.
",
00D300FB," A resource was not available during database access
agent allocation at a remote site.
"," The allocation of the database access agent was
unsuccessful. A 'resource not available' code is returned to the user. Db2 requests neither a SVC dump
nor a SYS1.LOGREC record.
",," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Determine the name of the resource being
allocated and correct the problem.
"
00D300FC," You attempted to allocate a resource at a remote
site using an invalid name.
"," The allocation of the database access agent was
unsuccessful. A 'resource not available' code is returned to the user. Db2 requests neither a SVC dump
nor a SYS1.LOGREC record. This reason code is returned only for system-directed
access (DSNLTMRA).
",," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Determine the resource being allocated
and correct the problem.
"
00D300FD," An attempt was made to disconnect a connection
with a specified location, but the transaction has not yet been connected
to that location. This is a Db2 internal
error.
"," A record is written to SYS1.LOGREC and an SVC
dump is requested. The execution unit is abnormally terminated.
",,," Obtain a copy of SYS1.LOGREC and the
SVC dump. Determine the failing environment (Db2, IMS, CICS, or TSO). If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
The
name of the module that invoked the function incorrectly is given
as the abending module name.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00D300FE,"You executed a COMMIT statement and update operations were performed at
a remote site. The success of the COMMIT operation could not be determined
because a failure occurred at the remote site or in the communication link
with the remote site after the request to commit the operation had been transmitted.
","The remote updates have been committed or backed out, depending on when
the error occurred.
",,,
00D300FF,"You attempted a COMMIT statement and update operations were performed at
a remote site. The attempt failed.
","The updates at the remote site have been backed out.
",,,"Determine why the COMMIT failed and retry the application.
"
00D30100," A COMMIT statement was chained to a set of commands
sent to an remote server. The remote server stopped processing the
chained commands before it reached the COMMIT. COMMIT was NOT performed.
"," Any updates performed within the current unit
of Work have been backed out.
"," Operator will not detect this problem.
"," See Problem Determination.
"," Collect the following diagnostic items
from the local Db2 system.  Listing of application program and output from application program.
Console output and a listing of SYSLOG data set for the period
of time spanning the failure.
Listing of SYS1.LOGREC data set, obtained by executing IFCEREP1.


Consult with the remote server system programmer to determine
the cause of the error.
The remote server system programmer
may need to collect the following remote server diagnostic items:
 Relevant error and system logs spanning the time of the failure.
Any relevant remote server dumps.


"
00D30101,"A COMMIT was attempted but failed due to a prior error. Communications
to a remote site have been lost. The COMMIT operation cannot be performed
because the COMMIT request could not be transmitted to a remote site. If the
program has performed updates, the updates have been backed out to the prior
COMMIT point.
","All update operations were backed out.
","Notify the system programmer.
","Restart DDF at the affected sites and rerun the application.
",
00D30103," This reason code may be returned for a failed
distributed commit using DRDA protocols.
It indicates that commit has failed because an ABNUOWRM reply message
was received from the server for a prior SQL statement, but an abort
had not been driven at the Db2 requester
prior to this commit and after the receipt of the ABNUOWRM.
An
ABNUOWRM reply message is sent by the server when it has rolled back
its unit-of-work in response to an unusual situation at the server
(for example, deadlock or operator intervention). When an ABNUOWRM
reply message is received by the requester, an abort must be driven
at the requester to synchronize the distributed systems. Until an
abort is driven, all subsequent SQL statements will receive an SQLCODE
-906. After an abort is driven, further SQL statements will be accepted.
"," The commit at the Db2 requester
fails.
"," The operator will not detect this problem.
"," Determine the cause of the problem
represented by the SQLCODE returned with the ABNUOWRM and if necessary,
work with the system programmer at the server to resolve it. If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Collect the following diagnostic items: User's application output, including SQLCAs returned for each
SQL statement.


"
00D30104," The unit-of-work disposition (commit or rollback)
received from a DRDA server
is inconsistent with the command sent (commit or rollback), and the
SQLCODE returned from the server. For example, if a commit is sent
to the server, and the reply message indicates the unit of work (UOW)
was committed, but the SQLCODE returned is negative, then this reason
code will be contained in the alert sent to NetView.
"," An alert is generated and sent to NetView. Two trace records, IFCID 0191 and
IFCID 0193, may be written to the Statistics Class 4 trace, and two
DSNL031I messages may be written to the console. The trace records
and messages will not be written if this error was previously detected
within the last 5 minutes. The Statistics Class 4 trace must be active
for the trace records to be written.
An SQLCODE +30100, -30020,
or -30030 is returned to the application. An SQLCODE -30020 indicates
a rollback was sent to the DRDA server,
but a commit unit-of-work disposition was received. An SQLCODE +30100
or -30030 conveys the unit-of-work disposition reported by the server,
and replaces the original SQL return code sent by the server, which
was not consistent with the UOW disposition. The original SQL return
code and SQLSTATE returned by the server are saved as tokens in the
SQLCA.
"," Notify the system programmer.
"," This is a DRDA distributed protocol problem. Once the
nature of the inconsistency is known, the server system programmer
may have to be contacted to help resolve the problem. If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Collect the following diagnostic items: Listing of the user's application program output, including printouts
of the SQLCAs received for all SQL statements.
Console output from the system on which the job was run, and a
listing of SYSLOG data set for the period of time spanning the failure.
Listing of the Statistics Class 4 trace records for the LUWID
associated with the failing request.


If no DSNL031I messages were written at the same time
as the alert, then scan the log backwards for previous DSNL031I messages.
A Db2 filter function prohibits
multiple occurrences of the same problem detected within a 5 minute
period from flooding the console and trace data set with diagnostic
information. You will have to find an earlier occurrence of the same
problem to start diagnosing it.
Once you have found the two
DSNL031I messages, locate the IFCID 0191 and 0193 trace records written
for the problem by using the IFCID sequence numbers from the DSNL031I
messages.
The IFCID 0193 trace record will document the nature
of the inconsistency (command sent, UOW disposition received, SQL
return code received).
The IFCID 0191 trace record will document
the exact data stream returned from the Server. Use this information
to determine if the reply message from the server was correctly converted
into the UOW disposition and the SQL return code reported in the IFCID
0193 record. If the data stream was correctly converted, then the
problem lies at the server and you should contact the system programmer
at the server and have him or her analyze the data stream produced
by the server.
"
00D30105," A distributed commit has failed
because the allied agent was canceled as a result of a STOP DDF MODE(FORCE)
command during a previous execution of DDF which has terminated. When
an allied agent does not issue database requests for more than 2 minutes
after a STOP DDF MODE(FORCE) command is issued, DDF will come down
without terminating the allied agent. The agent is canceled when it
makes its next request to Db2.
"," The commit operation is failed
and the agent is canceled. The last unit of work was rolled back at
all server systems when the STOP DDF MODE(FORCE) command was processed.
"," Re-start DDF.
",,
00D30106," The result of a DRDA distributed
commit could not be determined because the reply message from the
server either was invalid or could not be deciphered.
"," An alert is generated and sent to NetView. An IFCID 0191 trace record may be
written to the statistics class 4 trace, and a DSNL031I message may
be written to the console. The trace record and message will not be
written if this error was previously detected within the last 5 minutes.
The statistics class 4 trace must be active for the trace records
to be written.
The requester disconnects from the server system.
The state of the unit of work at the server is unknown. It may have
been committed, or it may have been rolled back. An SQLCA indicating
the nature of the DRDA reply
message distortion is given to the application.
"," Notify the system programmer whenever a DSNL031I
message is written to the MVS console.
"," This is a DRDA distributed protocol problem. Once the
nature of the problem is known, the server system programmer may have
to be contacted to help resolve the problem.
If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Collect the following diagnostic items:
 Listing of the user's application program output, including printouts
of the SQLCAs received for all SQL statements.
Console output from the system on which the job was run, and a
listing of SYSLOG data set for the period of time spanning the failure.
Listing of the statistics class 4 trace records.


If no DSNL031I message was written at the same time as
the alert, then scan the log backwards for a previous DSNL031I message.
A Db2 filter function prohibits
multiple occurrences of the same problem detected within a 5 minute
period from flooding the console and trace data set with diagnostic
information. You will have to find an earlier occurrence of the same
problem to start diagnosing it.
Once you have found the DSNL031I
message, locate the IFCID 0191 trace record written for the problem
by using the IFCID sequence number from the DSNL031I message.
The
IFCID 0191 trace record will document the exact data stream returned
from the server. Use this information to determine if the reply message
from the Server was correct, and if so, the error resides with the Db2 AR.
If the data stream
is incorrect, then the problem lies at the server and you should contact
the system programmer at the server and have he or she analyze the
data stream produced by the server.
"
00D30109," Phase 1 of a distributed commit failed.  One or
more remote servers did one of the following actions:  Voted NO
Voted heuristic mixed
Experienced a communications error
Made an error in their use of commit protocol


"," The commit fails.  The unit of work is backed
out.
For communication errors, message DSNL406I is written
to the system console, alert A006 is generated, and trace record IFCID
0209 is produced to record the server affected (LUWID of the unit
of work, and other information).
For protocol errors, message
DSNL413I is written to the system console, alert A005 is generated,
and trace record IFCID 0208 is produced to describe the nature of
each server's protocol violation.
",," For protocol errors, contact the
system programmer for the remote site. The invalid sync point message
is recorded in the IFCID 0208 trace record. The system logic error
that causes the invalid sync point message must be corrected at the
remote site.
"," Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 


"
00D3010A," This might occur when a version of IMS that does not support the COMMIT VERIFY exit
is running an IMS MODE=MULTI application with one or more non-Db2 servers.  This is probably a user error, since this scenario is not supported by Db2 and IMS unless
the IMS version is 4 or later.
IMS requested a new user SIGNON without an immediately preceding commit or abort, and your application was connected to one or more remote non-Db2 servers.  In order to preserve the consistency of database updates made at several different servers, when at least one server is a non-Db2 server, a commit or abort must precede any new user SIGNON.
"," The execution unit writes a record to SYS1.LOGREC.
 No dump is requested. The IMS application
terminates as a result of the abend.
"," Collect the SYS1.LOGREC.  Notify the system
programmer.
"," Determine if the IMS version and release being used invokes
the Db2 COMMIT VERIFY exit, which is available in Version 3
and later. Obtain the SYS1.LOGREC.
If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 


"
00D3010B,"Cached information was used to determine whether updates are allowed at
the server.  From the time of the execution of the CONNECT statement to the
time that the first SQL statement was sent to the server, the conversation
SYNC_LEVEL supported by the partner changed from a cached value of SYNC to
the current of value NONE.
SYNC_LEVEL NONE servers are not allowed to update in the current unit of
work. Since an update might have been performed by the partner during execution
of the first statement at the server, the application must roll back (abort).
This reason code is returned as a token in the SQLCODE -904.
","The connection to the server is deallocated.  The server's portion of the
current unit of work is rolled back at the server.  The application is placed
in a must-abort state.  All subsequent operations except rollback or abort
fail with an SQLCODE -918.  The remainder of the current unit of work is backed
out when rollback or abort is performed or when the application terminates.
",,,
00D3010C,"Cached information was used to determine whether updates are allowed at
the server.  From the time of the execution of the CONNECT statement to the
time that the first SQL statement was sent to the server, the partner was
started with a program that does not support two-phase commit.
Such servers are not allowed to update in the current unit of work. Since
an update might have been performed by the partner during execution of the
first statement at the server, the application must roll back.
This reason code is returned as a token in the SQLCODE -904.
","The connection to the server is deallocated.  The server's portion of the
current unit of work is rolled back at the server.  The application is placed
in a must-abort state.  All subsequent operations except rollback or abort
fail with an SQLCODE -918.  The remainder of the current unit of work is backed
out when rollback or abort is performed or when the application terminates.
",,,
00D3010D," Db2 requested
updates at multiple servers, but at least one server does not support
distributed two-phase commit.
"," If the application is using
TSO or BATCH attach, then Db2 rolls
back the UOW. If the application is using CICS or IMS attach,
then CICS or IMS rolls back the UOW after receiving the NO
commit vote from Db2.
",,," In the UOW that was not committed, the
first SQL statement that performed an update that was not allowed
received an SQLCODE -919. All subsequent SQL statements also received
an SQLCODE -919 until a ROLLBACK or a static ROLLBACK SQL statement
was executed (if either occurred). 
"
00D3010E," The DRDA server
system does not support the authentication mechanism specified in
the communications database. For example, the communications database
specified that RACF passtickets
were supposed to be used, but the server does not support it.
"," The attempt to access the remote server fails.
An SQLCODE -30073 is returned to the application.
",," Modify the row in SYSIBM.LUNAMES
or SYSIBM.IPNAMES to specify a security mechanism in the SECURITY_OUT
column that the remote server supports. 
",
00D3010F," Db2 was
unable to authenticate the DRDA user,
due to an error detected by RACF or
DCE.
"," The user's attempt to connect is rejected. An
SQLCODE -30082 is returned to the application.
",," Correct the error detected by DCE
or RACF. Both products write
messages to the MVS console describing
the error.
",
00D30110," A DRDA error
occurred. The Db2 crypto security
component detected an error and could not process the encryption security
tokens used to authenticate the user.
"," The attempt to connect to Db2 fails, the failure is reported to the SQL
application with an SQLCODE of -30082, and the connection is terminated.
",," Determine the reason for the failure
by verifying the DRDA data
stream and by reviewing the server diagnostic work area returned in
the DRDA security check reply
message.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"
00D30111," Db2 SAF
Identity Mapping service encountered an error when a request was made
to process a user registry name.
"," The Db2 SAF
Identity Mapping service request is not processed. Normal connection
authentication continues.
",," Verify that the z/OS system is running at z/OS Version 1.8 or higher.
",
00D30112," Integrated Cryptographic Service Facility (ICSF)
detected an error  and could not process the DRDA request.
"," A DSNL045I or DSNL046I message might have been
written to the console.  Refer to the description of the message for
more information.
If ICSF fails during connection processing
at the Db2 requester, the  connection
attempt fails, and the failure is reported to the application with
SQLCODE -904. The connection is terminated.
If ICSF fails fails
during connection processing at a remote Db2 server,
the connection attempt fails, and the failure is reported to the application
with SQLCODE -30082. The connection is terminated.
If ICSF
fails at a remote Db2 server
during one of the following actions:   Processing of an encrypted DRDA request
Generation of an encrypted DRDA reply

 the attempt to access the Db2 server
fails, and the failure is reported  to the local Db2 server. A DSNL032I message might have been
written to the  console. Refer to the description of the message for
more information.
If ICSF fails at the Db2 requester during one of the following actions:
 Processing of an encrypted DRDA reply
Generation of an encrypted DRDA request

 the attempt to access the distributed resource fails, and the
failure is  reported to the local Db2 server.
A DSNL031I message might have been  written to the console. Refer
to the description of the message for more information.
",," Check the console message and the
reason code in the message for further analysis. Determine the reason
for failure by verifying the DRDA data
stream. If the server diagnostic work area is returned in the DRDA reply message,  check the
contents of the server diagnostic work area.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"
00D30113,"Authentication of a remote user was rejected by Db2 because the
user ID that was provided by the remote system or user exceeds eight
characters. 
The Db2 operating environment
is restricted to no more than eight characters for user IDs. Remote
client environments must be changed to comply with this restriction.
","The attempt to access Db2 is rejected,
and the connection is terminated.
",,"Modify the user ID that was provided
by the remote system or user to contain no more than eight characters,
and try the remote request again.
","If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00D30114,"Authentication of a remote user was rejected by Db2 because
change of password security mechanism is not allowed when Db2 extended
security support has been disabled.
Db2 extended
security support is determined by the EXTSEC subsystem parameter,
and the value of the parameter has been changed online to disable
the support.
The change of password security mechanism will
remain restricted until Db2 extended
security support is enabled.
","The attempt to access Db2 is rejected,
and the connection is terminated.
",,"Enable Db2 extended
security support, and try the remote request again.
","If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
